X,Y,Fuel_Model,Burn_Probability
-2004885.0,2763825.0,32767,0.2
-2004855.0,2763825.0,32767,0.2
-2004825.0,2763825.0,32767,0.2
-2004795.0,2763825.0,32767,0.2
-2004765.0,2763825.0,32767,0.2
-2004735.0,2763825.0,32767,0.2
-2004705.0,2763825.0,32767,0.2
-2004675.0,2763825.0,32767,0.2
-2004645.0,2763825.0,32767,0.2
-2004615.0,2763825.0,32767,0.2
-2004585.0,2763825.0,32767,0.2
-2004555.0,2763825.0,32767,0.2
-2004525.0,2763825.0,32767,0.2
-2004495.0,2763825.0,32767,0.2
-2012355.0,2763795.0,32767,0.2
-2012325.0,2763795.0,32767,0.2
-2012295.0,2763795.0,32767,0.2
-2012265.0,2763795.0,32767,0.2
-2012235.0,2763795.0,32767,0.2
-2012205.0,2763795.0,32767,0.2
-2012175.0,2763795.0,32767,0.2
-2012145.0,2763795.0,32767,0.2
-2012115.0,2763795.0,32767,0.2
-2012085.0,2763795.0,32767,0.2
-2012055.0,2763795.0,32767,0.2
-2012025.0,2763795.0,32767,0.2
-2011995.0,2763795.0,32767,0.2
-2011965.0,2763795.0,32767,0.2
-2011935.0,2763795.0,32767,0.2
-2011905.0,2763795.0,32767,0.2
-2011875.0,2763795.0,32767,0.2
-2011845.0,2763795.0,32767,0.2
-2011815.0,2763795.0,32767,0.2
-2011785.0,2763795.0,32767,0.2
-2011755.0,2763795.0,32767,0.2
-2011725.0,2763795.0,32767,0.2
-2011695.0,2763795.0,32767,0.2
-2011665.0,2763795.0,32767,0.2
-2011635.0,2763795.0,32767,0.2
-2011605.0,2763795.0,32767,0.2
-2011575.0,2763795.0,32767,0.2
-2011545.0,2763795.0,32767,0.2
-2011515.0,2763795.0,32767,0.2
-2011485.0,2763795.0,32767,0.2
-2011455.0,2763795.0,32767,0.2
-2011425.0,2763795.0,32767,0.2
-2011395.0,2763795.0,32767,0.2
-2011365.0,2763795.0,32767,0.2
-2011335.0,2763795.0,32767,0.2
-2011305.0,2763795.0,32767,0.2
-2011275.0,2763795.0,32767,0.2
-2011245.0,2763795.0,32767,0.2
-2011215.0,2763795.0,32767,0.2
-2011185.0,2763795.0,32767,0.2
-2011155.0,2763795.0,32767,0.2
-2011125.0,2763795.0,32767,0.2
-2011095.0,2763795.0,32767,0.2
-2011065.0,2763795.0,9,0.4
-2011035.0,2763795.0,10,0.5
-2011005.0,2763795.0,9,0.4
-2010975.0,2763795.0,9,0.4
-2010945.0,2763795.0,8,0.3
-2010915.0,2763795.0,9,0.4
-2010885.0,2763795.0,98,0.2
-2010855.0,2763795.0,5,0.5
-2010825.0,2763795.0,9,0.4
-2010795.0,2763795.0,9,0.4
-2010765.0,2763795.0,8,0.3
-2010735.0,2763795.0,91,0.2
-2010705.0,2763795.0,91,0.2
-2010675.0,2763795.0,91,0.2
-2010645.0,2763795.0,8,0.3
-2010615.0,2763795.0,8,0.3
-2010585.0,2763795.0,8,0.3
-2010555.0,2763795.0,8,0.3
-2010525.0,2763795.0,8,0.3
-2010495.0,2763795.0,9,0.4
-2010465.0,2763795.0,10,0.5
-2010435.0,2763795.0,8,0.3
-2010405.0,2763795.0,10,0.5
-2010375.0,2763795.0,10,0.5
-2010345.0,2763795.0,10,0.5
-2010315.0,2763795.0,8,0.3
-2010285.0,2763795.0,8,0.3
-2010255.0,2763795.0,10,0.5
-2010225.0,2763795.0,9,0.4
-2010195.0,2763795.0,8,0.3
-2010165.0,2763795.0,8,0.3
-2010135.0,2763795.0,8,0.3
-2010105.0,2763795.0,8,0.3
-2010075.0,2763795.0,8,0.3
-2010045.0,2763795.0,8,0.3
-2010015.0,2763795.0,8,0.3
-2009985.0,2763795.0,8,0.3
-2009955.0,2763795.0,8,0.3
-2009925.0,2763795.0,8,0.3
-2009895.0,2763795.0,8,0.3
-2009865.0,2763795.0,8,0.3
-2009835.0,2763795.0,9,0.4
-2009805.0,2763795.0,9,0.4
-2009775.0,2763795.0,8,0.3
-2009745.0,2763795.0,8,0.3
-2009715.0,2763795.0,9,0.4
-2009685.0,2763795.0,8,0.3
-2009655.0,2763795.0,8,0.3
-2009625.0,2763795.0,8,0.3
-2009595.0,2763795.0,8,0.3
-2009565.0,2763795.0,8,0.3
-2009535.0,2763795.0,8,0.3
-2009505.0,2763795.0,8,0.3
-2009475.0,2763795.0,8,0.3
-2009445.0,2763795.0,8,0.3
-2009415.0,2763795.0,8,0.3
-2009385.0,2763795.0,8,0.3
-2009355.0,2763795.0,8,0.3
-2009325.0,2763795.0,9,0.4
-2009295.0,2763795.0,9,0.4
-2009265.0,2763795.0,9,0.4
-2009235.0,2763795.0,9,0.4
-2009205.0,2763795.0,9,0.4
-2009175.0,2763795.0,10,0.5
-2009145.0,2763795.0,10,0.5
-2009115.0,2763795.0,10,0.5
-2009085.0,2763795.0,10,0.5
-2009055.0,2763795.0,10,0.5
-2009025.0,2763795.0,8,0.3
-2008995.0,2763795.0,10,0.5
-2008965.0,2763795.0,10,0.5
-2008935.0,2763795.0,10,0.5
-2008905.0,2763795.0,10,0.5
-2008875.0,2763795.0,10,0.5
-2008845.0,2763795.0,10,0.5
-2008815.0,2763795.0,10,0.5
-2008785.0,2763795.0,8,0.3
-2008755.0,2763795.0,10,0.5
-2008725.0,2763795.0,10,0.5
-2008695.0,2763795.0,10,0.5
-2008665.0,2763795.0,10,0.5
-2008635.0,2763795.0,10,0.5
-2008605.0,2763795.0,9,0.4
-2008575.0,2763795.0,9,0.4
-2008545.0,2763795.0,9,0.4
-2008515.0,2763795.0,9,0.4
-2008485.0,2763795.0,9,0.4
-2008455.0,2763795.0,9,0.4
-2008425.0,2763795.0,9,0.4
-2008395.0,2763795.0,9,0.4
-2008365.0,2763795.0,9,0.4
-2008335.0,2763795.0,9,0.4
-2008305.0,2763795.0,9,0.4
-2008275.0,2763795.0,10,0.5
-2008245.0,2763795.0,10,0.5
-2008215.0,2763795.0,10,0.5
-2008185.0,2763795.0,10,0.5
-2008155.0,2763795.0,10,0.5
-2008125.0,2763795.0,10,0.5
-2008095.0,2763795.0,10,0.5
-2008065.0,2763795.0,9,0.4
-2008035.0,2763795.0,9,0.4
-2008005.0,2763795.0,10,0.5
-2007975.0,2763795.0,10,0.5
-2007945.0,2763795.0,10,0.5
-2007915.0,2763795.0,9,0.4
-2007885.0,2763795.0,9,0.4
-2007855.0,2763795.0,9,0.4
-2007825.0,2763795.0,9,0.4
-2007795.0,2763795.0,9,0.4
-2007765.0,2763795.0,9,0.4
-2007735.0,2763795.0,9,0.4
-2007705.0,2763795.0,9,0.4
-2007675.0,2763795.0,9,0.4
-2007645.0,2763795.0,9,0.4
-2007615.0,2763795.0,9,0.4
-2007585.0,2763795.0,9,0.4
-2007555.0,2763795.0,9,0.4
-2007525.0,2763795.0,9,0.4
-2007495.0,2763795.0,10,0.5
-2007465.0,2763795.0,9,0.4
-2007435.0,2763795.0,9,0.4
-2007405.0,2763795.0,9,0.4
-2007375.0,2763795.0,9,0.4
-2007345.0,2763795.0,9,0.4
-2007315.0,2763795.0,9,0.4
-2007285.0,2763795.0,9,0.4
-2007255.0,2763795.0,9,0.4
-2007225.0,2763795.0,9,0.4
-2007195.0,2763795.0,9,0.4
-2007165.0,2763795.0,9,0.4
-2007135.0,2763795.0,9,0.4
-2007105.0,2763795.0,9,0.4
-2007075.0,2763795.0,9,0.4
-2007045.0,2763795.0,9,0.4
-2007015.0,2763795.0,10,0.5
-2006985.0,2763795.0,10,0.5
-2006955.0,2763795.0,9,0.4
-2006925.0,2763795.0,10,0.5
-2006895.0,2763795.0,10,0.5
-2006865.0,2763795.0,9,0.4
-2006835.0,2763795.0,10,0.5
-2006805.0,2763795.0,9,0.4
-2006775.0,2763795.0,9,0.4
-2006745.0,2763795.0,9,0.4
-2006715.0,2763795.0,9,0.4
-2006685.0,2763795.0,9,0.4
-2006655.0,2763795.0,9,0.4
-2006625.0,2763795.0,10,0.5
-2006595.0,2763795.0,9,0.4
-2006565.0,2763795.0,9,0.4
-2006535.0,2763795.0,9,0.4
-2006505.0,2763795.0,9,0.4
-2006475.0,2763795.0,9,0.4
-2006445.0,2763795.0,9,0.4
-2006415.0,2763795.0,9,0.4
-2006385.0,2763795.0,9,0.4
-2006355.0,2763795.0,9,0.4
-2006325.0,2763795.0,9,0.4
-2006295.0,2763795.0,9,0.4
-2006265.0,2763795.0,9,0.4
-2006235.0,2763795.0,9,0.4
-2006205.0,2763795.0,9,0.4
-2006175.0,2763795.0,9,0.4
-2006145.0,2763795.0,9,0.4
-2006115.0,2763795.0,9,0.4
-2006085.0,2763795.0,9,0.4
-2006055.0,2763795.0,9,0.4
-2006025.0,2763795.0,9,0.4
-2005995.0,2763795.0,9,0.4
-2005965.0,2763795.0,9,0.4
-2005935.0,2763795.0,8,0.3
-2005905.0,2763795.0,8,0.3
-2005875.0,2763795.0,9,0.4
-2005845.0,2763795.0,9,0.4
-2005815.0,2763795.0,9,0.4
-2005785.0,2763795.0,9,0.4
-2005755.0,2763795.0,9,0.4
-2005725.0,2763795.0,9,0.4
-2005695.0,2763795.0,9,0.4
-2005665.0,2763795.0,9,0.4
-2005635.0,2763795.0,9,0.4
-2005605.0,2763795.0,9,0.4
-2005575.0,2763795.0,9,0.4
-2005545.0,2763795.0,9,0.4
-2005515.0,2763795.0,9,0.4
-2005485.0,2763795.0,9,0.4
-2005455.0,2763795.0,9,0.4
-2005425.0,2763795.0,9,0.4
-2005395.0,2763795.0,9,0.4
-2005365.0,2763795.0,9,0.4
-2005335.0,2763795.0,9,0.4
-2005305.0,2763795.0,9,0.4
-2005275.0,2763795.0,9,0.4
-2005245.0,2763795.0,9,0.4
-2005215.0,2763795.0,9,0.4
-2005185.0,2763795.0,8,0.3
-2005155.0,2763795.0,9,0.4
-2005125.0,2763795.0,9,0.4
-2005095.0,2763795.0,32767,0.2
-2005065.0,2763795.0,32767,0.2
-2005035.0,2763795.0,32767,0.2
-2005005.0,2763795.0,32767,0.2
-2004975.0,2763795.0,32767,0.2
-2004945.0,2763795.0,32767,0.2
-2004915.0,2763795.0,32767,0.2
-2004885.0,2763795.0,32767,0.2
-2004855.0,2763795.0,32767,0.2
-2004825.0,2763795.0,32767,0.2
-2004795.0,2763795.0,32767,0.2
-2004765.0,2763795.0,32767,0.2
-2004735.0,2763795.0,32767,0.2
-2004705.0,2763795.0,32767,0.2
-2004675.0,2763795.0,32767,0.2
-2004645.0,2763795.0,32767,0.2
-2004615.0,2763795.0,32767,0.2
-2004585.0,2763795.0,32767,0.2
-2004555.0,2763795.0,32767,0.2
-2004525.0,2763795.0,32767,0.2
-2004495.0,2763795.0,32767,0.2
-2012355.0,2763765.0,32767,0.2
-2012325.0,2763765.0,32767,0.2
-2012295.0,2763765.0,32767,0.2
-2012265.0,2763765.0,32767,0.2
-2012235.0,2763765.0,32767,0.2
-2012205.0,2763765.0,32767,0.2
-2012175.0,2763765.0,32767,0.2
-2012145.0,2763765.0,32767,0.2
-2012115.0,2763765.0,32767,0.2
-2012085.0,2763765.0,32767,0.2
-2012055.0,2763765.0,32767,0.2
-2012025.0,2763765.0,32767,0.2
-2011995.0,2763765.0,32767,0.2
-2011965.0,2763765.0,32767,0.2
-2011935.0,2763765.0,32767,0.2
-2011905.0,2763765.0,32767,0.2
-2011875.0,2763765.0,32767,0.2
-2011845.0,2763765.0,32767,0.2
-2011815.0,2763765.0,32767,0.2
-2011785.0,2763765.0,32767,0.2
-2011755.0,2763765.0,32767,0.2
-2011725.0,2763765.0,32767,0.2
-2011695.0,2763765.0,32767,0.2
-2011665.0,2763765.0,32767,0.2
-2011635.0,2763765.0,32767,0.2
-2011605.0,2763765.0,32767,0.2
-2011575.0,2763765.0,32767,0.2
-2011545.0,2763765.0,32767,0.2
-2011515.0,2763765.0,32767,0.2
-2011485.0,2763765.0,32767,0.2
-2011455.0,2763765.0,32767,0.2
-2011425.0,2763765.0,32767,0.2
-2011395.0,2763765.0,32767,0.2
-2011365.0,2763765.0,32767,0.2
-2011335.0,2763765.0,32767,0.2
-2011305.0,2763765.0,32767,0.2
-2011275.0,2763765.0,32767,0.2
-2011245.0,2763765.0,32767,0.2
-2011215.0,2763765.0,32767,0.2
-2011185.0,2763765.0,32767,0.2
-2011155.0,2763765.0,32767,0.2
-2011125.0,2763765.0,32767,0.2
-2011095.0,2763765.0,32767,0.2
-2011065.0,2763765.0,9,0.4
-2011035.0,2763765.0,10,0.5
-2011005.0,2763765.0,9,0.4
-2010975.0,2763765.0,8,0.3
-2010945.0,2763765.0,8,0.3
-2010915.0,2763765.0,8,0.3
-2010885.0,2763765.0,98,0.2
-2010855.0,2763765.0,5,0.5
-2010825.0,2763765.0,8,0.3
-2010795.0,2763765.0,8,0.3
-2010765.0,2763765.0,91,0.2
-2010735.0,2763765.0,91,0.2
-2010705.0,2763765.0,8,0.3
-2010675.0,2763765.0,91,0.2
-2010645.0,2763765.0,9,0.4
-2010615.0,2763765.0,8,0.3
-2010585.0,2763765.0,8,0.3
-2010555.0,2763765.0,8,0.3
-2010525.0,2763765.0,8,0.3
-2010495.0,2763765.0,8,0.3
-2010465.0,2763765.0,8,0.3
-2010435.0,2763765.0,8,0.3
-2010405.0,2763765.0,9,0.4
-2010375.0,2763765.0,10,0.5
-2010345.0,2763765.0,10,0.5
-2010315.0,2763765.0,9,0.4
-2010285.0,2763765.0,10,0.5
-2010255.0,2763765.0,9,0.4
-2010225.0,2763765.0,8,0.3
-2010195.0,2763765.0,8,0.3
-2010165.0,2763765.0,9,0.4
-2010135.0,2763765.0,8,0.3
-2010105.0,2763765.0,8,0.3
-2010075.0,2763765.0,8,0.3
-2010045.0,2763765.0,8,0.3
-2010015.0,2763765.0,8,0.3
-2009985.0,2763765.0,8,0.3
-2009955.0,2763765.0,8,0.3
-2009925.0,2763765.0,8,0.3
-2009895.0,2763765.0,8,0.3
-2009865.0,2763765.0,8,0.3
-2009835.0,2763765.0,8,0.3
-2009805.0,2763765.0,9,0.4
-2009775.0,2763765.0,8,0.3
-2009745.0,2763765.0,8,0.3
-2009715.0,2763765.0,8,0.3
-2009685.0,2763765.0,8,0.3
-2009655.0,2763765.0,8,0.3
-2009625.0,2763765.0,8,0.3
-2009595.0,2763765.0,8,0.3
-2009565.0,2763765.0,8,0.3
-2009535.0,2763765.0,8,0.3
-2009505.0,2763765.0,8,0.3
-2009475.0,2763765.0,8,0.3
-2009445.0,2763765.0,8,0.3
-2009415.0,2763765.0,8,0.3
-2009385.0,2763765.0,8,0.3
-2009355.0,2763765.0,8,0.3
-2009325.0,2763765.0,8,0.3
-2009295.0,2763765.0,8,0.3
-2009265.0,2763765.0,9,0.4
-2009235.0,2763765.0,9,0.4
-2009205.0,2763765.0,9,0.4
-2009175.0,2763765.0,9,0.4
-2009145.0,2763765.0,10,0.5
-2009115.0,2763765.0,10,0.5
-2009085.0,2763765.0,8,0.3
-2009055.0,2763765.0,9,0.4
-2009025.0,2763765.0,10,0.5
-2008995.0,2763765.0,10,0.5
-2008965.0,2763765.0,10,0.5
-2008935.0,2763765.0,10,0.5
-2008905.0,2763765.0,10,0.5
-2008875.0,2763765.0,9,0.4
-2008845.0,2763765.0,10,0.5
-2008815.0,2763765.0,10,0.5
-2008785.0,2763765.0,9,0.4
-2008755.0,2763765.0,10,0.5
-2008725.0,2763765.0,9,0.4
-2008695.0,2763765.0,8,0.3
-2008665.0,2763765.0,10,0.5
-2008635.0,2763765.0,9,0.4
-2008605.0,2763765.0,9,0.4
-2008575.0,2763765.0,9,0.4
-2008545.0,2763765.0,9,0.4
-2008515.0,2763765.0,9,0.4
-2008485.0,2763765.0,9,0.4
-2008455.0,2763765.0,9,0.4
-2008425.0,2763765.0,9,0.4
-2008395.0,2763765.0,9,0.4
-2008365.0,2763765.0,9,0.4
-2008335.0,2763765.0,9,0.4
-2008305.0,2763765.0,9,0.4
-2008275.0,2763765.0,10,0.5
-2008245.0,2763765.0,10,0.5
-2008215.0,2763765.0,10,0.5
-2008185.0,2763765.0,9,0.4
-2008155.0,2763765.0,10,0.5
-2008125.0,2763765.0,10,0.5
-2008095.0,2763765.0,10,0.5
-2008065.0,2763765.0,10,0.5
-2008035.0,2763765.0,9,0.4
-2008005.0,2763765.0,10,0.5
-2007975.0,2763765.0,10,0.5
-2007945.0,2763765.0,9,0.4
-2007915.0,2763765.0,9,0.4
-2007885.0,2763765.0,9,0.4
-2007855.0,2763765.0,9,0.4
-2007825.0,2763765.0,9,0.4
-2007795.0,2763765.0,9,0.4
-2007765.0,2763765.0,9,0.4
-2007735.0,2763765.0,9,0.4
-2007705.0,2763765.0,9,0.4
-2007675.0,2763765.0,9,0.4
-2007645.0,2763765.0,9,0.4
-2007615.0,2763765.0,9,0.4
-2007585.0,2763765.0,9,0.4
-2007555.0,2763765.0,9,0.4
-2007525.0,2763765.0,9,0.4
-2007495.0,2763765.0,9,0.4
-2007465.0,2763765.0,9,0.4
-2007435.0,2763765.0,9,0.4
-2007405.0,2763765.0,9,0.4
-2007375.0,2763765.0,9,0.4
-2007345.0,2763765.0,9,0.4
-2007315.0,2763765.0,9,0.4
-2007285.0,2763765.0,9,0.4
-2007255.0,2763765.0,9,0.4
-2007225.0,2763765.0,9,0.4
-2007195.0,2763765.0,9,0.4
-2007165.0,2763765.0,9,0.4
-2007135.0,2763765.0,9,0.4
-2007105.0,2763765.0,9,0.4
-2007075.0,2763765.0,9,0.4
-2007045.0,2763765.0,10,0.5
-2007015.0,2763765.0,9,0.4
-2006985.0,2763765.0,9,0.4
-2006955.0,2763765.0,10,0.5
-2006925.0,2763765.0,10,0.5
-2006895.0,2763765.0,9,0.4
-2006865.0,2763765.0,10,0.5
-2006835.0,2763765.0,10,0.5
-2006805.0,2763765.0,9,0.4
-2006775.0,2763765.0,9,0.4
-2006745.0,2763765.0,10,0.5
-2006715.0,2763765.0,10,0.5
-2006685.0,2763765.0,9,0.4
-2006655.0,2763765.0,9,0.4
-2006625.0,2763765.0,10,0.5
-2006595.0,2763765.0,9,0.4
-2006565.0,2763765.0,10,0.5
-2006535.0,2763765.0,9,0.4
-2006505.0,2763765.0,9,0.4
-2006475.0,2763765.0,9,0.4
-2006445.0,2763765.0,9,0.4
-2006415.0,2763765.0,9,0.4
-2006385.0,2763765.0,9,0.4
-2006355.0,2763765.0,9,0.4
-2006325.0,2763765.0,9,0.4
-2006295.0,2763765.0,9,0.4
-2006265.0,2763765.0,9,0.4
-2006235.0,2763765.0,9,0.4
-2006205.0,2763765.0,9,0.4
-2006175.0,2763765.0,9,0.4
-2006145.0,2763765.0,9,0.4
-2006115.0,2763765.0,9,0.4
-2006085.0,2763765.0,9,0.4
-2006055.0,2763765.0,5,0.5
-2006025.0,2763765.0,5,0.5
-2005995.0,2763765.0,8,0.3
-2005965.0,2763765.0,8,0.3
-2005935.0,2763765.0,9,0.4
-2005905.0,2763765.0,9,0.4
-2005875.0,2763765.0,9,0.4
-2005845.0,2763765.0,9,0.4
-2005815.0,2763765.0,8,0.3
-2005785.0,2763765.0,9,0.4
-2005755.0,2763765.0,9,0.4
-2005725.0,2763765.0,9,0.4
-2005695.0,2763765.0,9,0.4
-2005665.0,2763765.0,9,0.4
-2005635.0,2763765.0,9,0.4
-2005605.0,2763765.0,9,0.4
-2005575.0,2763765.0,9,0.4
-2005545.0,2763765.0,9,0.4
-2005515.0,2763765.0,9,0.4
-2005485.0,2763765.0,9,0.4
-2005455.0,2763765.0,9,0.4
-2005425.0,2763765.0,9,0.4
-2005395.0,2763765.0,9,0.4
-2005365.0,2763765.0,9,0.4
-2005335.0,2763765.0,9,0.4
-2005305.0,2763765.0,9,0.4
-2005275.0,2763765.0,9,0.4
-2005245.0,2763765.0,9,0.4
-2005215.0,2763765.0,9,0.4
-2005185.0,2763765.0,9,0.4
-2005155.0,2763765.0,8,0.3
-2005125.0,2763765.0,8,0.3
-2005095.0,2763765.0,9,0.4
-2005065.0,2763765.0,9,0.4
-2005035.0,2763765.0,9,0.4
-2005005.0,2763765.0,9,0.4
-2004975.0,2763765.0,32767,0.2
-2004945.0,2763765.0,32767,0.2
-2004915.0,2763765.0,32767,0.2
-2004885.0,2763765.0,32767,0.2
-2004855.0,2763765.0,32767,0.2
-2004825.0,2763765.0,32767,0.2
-2004795.0,2763765.0,32767,0.2
-2004765.0,2763765.0,32767,0.2
-2004735.0,2763765.0,32767,0.2
-2004705.0,2763765.0,32767,0.2
-2004675.0,2763765.0,32767,0.2
-2004645.0,2763765.0,32767,0.2
-2004615.0,2763765.0,32767,0.2
-2004585.0,2763765.0,32767,0.2
-2004555.0,2763765.0,32767,0.2
-2004525.0,2763765.0,32767,0.2
-2004495.0,2763765.0,32767,0.2
-2012355.0,2763735.0,32767,0.2
-2012325.0,2763735.0,32767,0.2
-2012295.0,2763735.0,32767,0.2
-2012265.0,2763735.0,32767,0.2
-2012235.0,2763735.0,32767,0.2
-2012205.0,2763735.0,32767,0.2
-2012175.0,2763735.0,32767,0.2
-2012145.0,2763735.0,32767,0.2
-2012115.0,2763735.0,32767,0.2
-2012085.0,2763735.0,32767,0.2
-2012055.0,2763735.0,32767,0.2
-2012025.0,2763735.0,32767,0.2
-2011995.0,2763735.0,32767,0.2
-2011965.0,2763735.0,32767,0.2
-2011935.0,2763735.0,32767,0.2
-2011905.0,2763735.0,32767,0.2
-2011875.0,2763735.0,32767,0.2
-2011845.0,2763735.0,32767,0.2
-2011815.0,2763735.0,32767,0.2
-2011785.0,2763735.0,32767,0.2
-2011755.0,2763735.0,32767,0.2
-2011725.0,2763735.0,32767,0.2
-2011695.0,2763735.0,32767,0.2
-2011665.0,2763735.0,32767,0.2
-2011635.0,2763735.0,32767,0.2
-2011605.0,2763735.0,32767,0.2
-2011575.0,2763735.0,32767,0.2
-2011545.0,2763735.0,32767,0.2
-2011515.0,2763735.0,32767,0.2
-2011485.0,2763735.0,32767,0.2
-2011455.0,2763735.0,32767,0.2
-2011425.0,2763735.0,32767,0.2
-2011395.0,2763735.0,32767,0.2
-2011365.0,2763735.0,32767,0.2
-2011335.0,2763735.0,32767,0.2
-2011305.0,2763735.0,32767,0.2
-2011275.0,2763735.0,32767,0.2
-2011245.0,2763735.0,32767,0.2
-2011215.0,2763735.0,32767,0.2
-2011185.0,2763735.0,32767,0.2
-2011155.0,2763735.0,32767,0.2
-2011125.0,2763735.0,32767,0.2
-2011095.0,2763735.0,91,0.2
-2011065.0,2763735.0,10,0.5
-2011035.0,2763735.0,8,0.3
-2011005.0,2763735.0,9,0.4
-2010975.0,2763735.0,8,0.3
-2010945.0,2763735.0,8,0.3
-2010915.0,2763735.0,8,0.3
-2010885.0,2763735.0,9,0.4
-2010855.0,2763735.0,9,0.4
-2010825.0,2763735.0,9,0.4
-2010795.0,2763735.0,8,0.3
-2010765.0,2763735.0,91,0.2
-2010735.0,2763735.0,91,0.2
-2010705.0,2763735.0,8,0.3
-2010675.0,2763735.0,91,0.2
-2010645.0,2763735.0,91,0.2
-2010615.0,2763735.0,9,0.4
-2010585.0,2763735.0,9,0.4
-2010555.0,2763735.0,8,0.3
-2010525.0,2763735.0,8,0.3
-2010495.0,2763735.0,91,0.2
-2010465.0,2763735.0,8,0.3
-2010435.0,2763735.0,9,0.4
-2010405.0,2763735.0,9,0.4
-2010375.0,2763735.0,9,0.4
-2010345.0,2763735.0,9,0.4
-2010315.0,2763735.0,9,0.4
-2010285.0,2763735.0,8,0.3
-2010255.0,2763735.0,9,0.4
-2010225.0,2763735.0,9,0.4
-2010195.0,2763735.0,9,0.4
-2010165.0,2763735.0,9,0.4
-2010135.0,2763735.0,8,0.3
-2010105.0,2763735.0,8,0.3
-2010075.0,2763735.0,8,0.3
-2010045.0,2763735.0,8,0.3
-2010015.0,2763735.0,8,0.3
-2009985.0,2763735.0,8,0.3
-2009955.0,2763735.0,8,0.3
-2009925.0,2763735.0,8,0.3
-2009895.0,2763735.0,8,0.3
-2009865.0,2763735.0,8,0.3
-2009835.0,2763735.0,8,0.3
-2009805.0,2763735.0,8,0.3
-2009775.0,2763735.0,8,0.3
-2009745.0,2763735.0,8,0.3
-2009715.0,2763735.0,8,0.3
-2009685.0,2763735.0,9,0.4
-2009655.0,2763735.0,9,0.4
-2009625.0,2763735.0,8,0.3
-2009595.0,2763735.0,8,0.3
-2009565.0,2763735.0,8,0.3
-2009535.0,2763735.0,8,0.3
-2009505.0,2763735.0,8,0.3
-2009475.0,2763735.0,8,0.3
-2009445.0,2763735.0,8,0.3
-2009415.0,2763735.0,9,0.4
-2009385.0,2763735.0,9,0.4
-2009355.0,2763735.0,8,0.3
-2009325.0,2763735.0,9,0.4
-2009295.0,2763735.0,8,0.3
-2009265.0,2763735.0,9,0.4
-2009235.0,2763735.0,9,0.4
-2009205.0,2763735.0,9,0.4
-2009175.0,2763735.0,9,0.4
-2009145.0,2763735.0,9,0.4
-2009115.0,2763735.0,9,0.4
-2009085.0,2763735.0,9,0.4
-2009055.0,2763735.0,10,0.5
-2009025.0,2763735.0,9,0.4
-2008995.0,2763735.0,9,0.4
-2008965.0,2763735.0,10,0.5
-2008935.0,2763735.0,10,0.5
-2008905.0,2763735.0,9,0.4
-2008875.0,2763735.0,9,0.4
-2008845.0,2763735.0,8,0.3
-2008815.0,2763735.0,8,0.3
-2008785.0,2763735.0,9,0.4
-2008755.0,2763735.0,8,0.3
-2008725.0,2763735.0,10,0.5
-2008695.0,2763735.0,8,0.3
-2008665.0,2763735.0,9,0.4
-2008635.0,2763735.0,9,0.4
-2008605.0,2763735.0,9,0.4
-2008575.0,2763735.0,9,0.4
-2008545.0,2763735.0,9,0.4
-2008515.0,2763735.0,9,0.4
-2008485.0,2763735.0,8,0.3
-2008455.0,2763735.0,9,0.4
-2008425.0,2763735.0,9,0.4
-2008395.0,2763735.0,9,0.4
-2008365.0,2763735.0,9,0.4
-2008335.0,2763735.0,9,0.4
-2008305.0,2763735.0,9,0.4
-2008275.0,2763735.0,9,0.4
-2008245.0,2763735.0,9,0.4
-2008215.0,2763735.0,10,0.5
-2008185.0,2763735.0,10,0.5
-2008155.0,2763735.0,10,0.5
-2008125.0,2763735.0,10,0.5
-2008095.0,2763735.0,10,0.5
-2008065.0,2763735.0,10,0.5
-2008035.0,2763735.0,10,0.5
-2008005.0,2763735.0,10,0.5
-2007975.0,2763735.0,9,0.4
-2007945.0,2763735.0,9,0.4
-2007915.0,2763735.0,8,0.3
-2007885.0,2763735.0,9,0.4
-2007855.0,2763735.0,9,0.4
-2007825.0,2763735.0,9,0.4
-2007795.0,2763735.0,9,0.4
-2007765.0,2763735.0,9,0.4
-2007735.0,2763735.0,9,0.4
-2007705.0,2763735.0,9,0.4
-2007675.0,2763735.0,9,0.4
-2007645.0,2763735.0,9,0.4
-2007615.0,2763735.0,9,0.4
-2007585.0,2763735.0,9,0.4
-2007555.0,2763735.0,10,0.5
-2007525.0,2763735.0,9,0.4
-2007495.0,2763735.0,9,0.4
-2007465.0,2763735.0,9,0.4
-2007435.0,2763735.0,9,0.4
-2007405.0,2763735.0,9,0.4
-2007375.0,2763735.0,9,0.4
-2007345.0,2763735.0,9,0.4
-2007315.0,2763735.0,8,0.3
-2007285.0,2763735.0,9,0.4
-2007255.0,2763735.0,9,0.4
-2007225.0,2763735.0,9,0.4
-2007195.0,2763735.0,9,0.4
-2007165.0,2763735.0,9,0.4
-2007135.0,2763735.0,9,0.4
-2007105.0,2763735.0,9,0.4
-2007075.0,2763735.0,9,0.4
-2007045.0,2763735.0,10,0.5
-2007015.0,2763735.0,9,0.4
-2006985.0,2763735.0,10,0.5
-2006955.0,2763735.0,10,0.5
-2006925.0,2763735.0,9,0.4
-2006895.0,2763735.0,10,0.5
-2006865.0,2763735.0,9,0.4
-2006835.0,2763735.0,10,0.5
-2006805.0,2763735.0,9,0.4
